s_1,f_1,product
0,0,[2]
3,1,[2]
10,2,"[0, 2]"
13,3,[2]
20,4,"[0, 2]"
23,5,[2]
26,2,"[0, 2]"
30,6,"[0, 2]"
33,7,[2]
34,2,"[0, 2]"
36,4,"[0, 2]"
37,3,[2]
40,8,"[0, 2]"
43,9,[2]
44,4,"[0, 2]"
46,6,"[0, 2]"
47,5,[2]
50,10,"[0, 2]"
52,4,[2]
53,11,[2]
54,6,"[0, 2]"
56,8,"[0, 2]"
57,3,"[0, 0, 2]"
57,7,[2]
58,2,"[0, 0, 1]"
60,4,[2]
60,12,"[0, 2]"
61,3,"[0, 2]"
62,6,[2]
63,13,[2]
64,8,"[0, 2]"
66,10,"[0, 2]"
67,5,"[0, 2]"
67,9,[2]
68,4,"[0, 1]"
68,4,"[0, 2]"
70,6,[2]
70,14,"[0, 2]"
71,5,[2]
72,8,[2]
73,15,[2]
74,2,[2]
74,10,"[0, 2]"
75,5,[2]
76,12,"[0, 2]"
77,7,"[0, 2]"
77,11,[2]
78,6,[1]
78,6,[2]
80,8,[2]
80,16,"[0, 2]"
81,3,[2]
81,3,[2]
81,7,[2]
82,2,"[0, 1]"
82,10,[2]
83,5,[2]
83,17,[2]
84,4,[1]
84,4,[2]
84,12,"[0, 2]"
85,3,"[0, 2]"
85,7,[2]
86,14,"[0, 2]"
87,9,"[0, 2]"
87,13,[2]
88,8,[1]
88,8,[2]
89,3,[2]
90,10,[2]
90,18,"[0, 2]"
91,5,"[0, 2]"
91,5,"[0, 2]"
91,9,[2]
92,4,[2]
92,12,[2]
93,7,[2]
93,19,[2]
94,6,[1]
94,6,[2]
94,14,"[0, 2]"
95,5,"[0, 0, 2]"
95,9,[2]
96,4,[2]
96,16,"[0, 2]"
97,11,"[0, 2]"
97,15,[2]
98,10,[1]
98,10,[2]
99,5,[2]
100,12,[2]
100,20,"[0, 2]"
101,7,[2]
101,7,[2]
101,11,[2]
102,6,[2]
102,14,[2]
103,9,[2]
103,21,[2]
104,8,[1]
104,8,[2]
104,16,"[0, 2]"
105,3,"[0, 0, 1]"
105,7,"[0, 2]"
105,11,[2]
106,2,"[0, 2]"
106,2,"[0, 2]"
106,6,"[0, 2]"
106,18,"[0, 2]"
107,13,"[0, 2]"
107,17,[2]
108,4,[2]
108,12,[1]
108,12,[2]
109,3,"[0, 2]"
109,3,"[0, 2]"
109,7,[2]
110,14,[2]
111,9,[2]
111,9,[2]
111,13,[2]
112,4,"[0, 2, 1]"
112,8,[2]
113,11,[2]
114,10,[1]
114,10,[2]
115,5,"[0, 2, 2]"
115,5,"[0, 2, 2]"
115,9,"[0, 2]"
116,4,"[0, 2]"
116,4,"[0, 1]"
116,4,"[0, 1]"
116,8,"[0, 2, 0]"
118,6,"[0, 2]"
119,5,"[0, 2]"
119,5,"[0, 2]"
122,2,"[0, 2]"
