s,f,product
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
3,1,[0]
7,1,[0]
10,2,[0]
11,1,"[0, 1]"
11,1,"[0, 0]"
13,3,[0]
15,1,[0]
19,1,[0]
20,4,[0]
23,1,"[0, 1]"
23,1,"[0, 0]"
23,5,[0]
26,2,[0]
27,1,[0]
29,3,[0]
30,6,[0]
31,1,[0]
33,7,[0]
34,2,[0]
35,1,"[0, 1, 0]"
35,1,"[0, 0, 1]"
35,1,"[0, 0, 0]"
36,4,[0]
37,3,[0]
38,2,[0]
39,1,[0]
39,5,[0]
40,8,[0]
42,2,[0]
43,1,[0]
43,9,[0]
44,4,[0]
45,3,"[0, 1]"
45,3,"[0, 0]"
46,6,[0]
47,1,"[0, 1]"
47,1,"[0, 0]"
47,5,[0]
49,7,[0]
50,10,[0]
51,1,[0]
52,4,[0]
53,11,[0]
54,6,[0]
55,1,[0]
55,5,[0]
56,8,[0]
57,3,[0]
57,7,[0]
58,2,[0]
59,1,"[0, 1]"
59,1,"[0, 0]"
59,9,[0]
60,4,[0]
60,12,[0]
61,3,[0]
62,6,[0]
63,1,[0]
63,13,[0]
64,8,[0]
65,7,[0]
66,10,[0]
67,1,[0]
67,5,[0]
67,9,[0]
68,4,"[0, 0]"
68,4,"[0, 0]"
69,11,[0]
70,6,[0]
70,14,[0]
71,1,"[0, 1, 0]"
71,1,"[0, 0, 1]"
71,1,"[0, 0, 0]"
71,5,[0]
72,8,[0]
73,15,[0]
74,2,[0]
74,10,[0]
75,1,[0]
75,5,[0]
75,9,[0]
76,12,[0]
77,7,[0]
77,11,[0]
78,6,"[0, 0]"
78,6,"[0, 0]"
79,1,[0]
79,13,[0]
80,8,[0]
80,16,[0]
81,3,"[0, 0]"
81,3,"[0, 0]"
81,7,[0]
82,2,[0]
82,10,[0]
83,1,"[0, 1]"
83,1,"[0, 0]"
83,5,[0]
83,17,[0]
84,4,"[0, 0]"
84,4,"[0, 0]"
84,12,[0]
85,3,[0]
85,7,[0]
85,11,[0]
86,2,[0]
86,6,[0]
86,14,[0]
87,1,[0]
87,9,[0]
87,13,[0]
88,8,"[0, 0]"
88,8,"[0, 0]"
89,3,[0]
89,15,[0]
90,2,[0]
90,10,[0]
90,18,[0]
91,1,[0]
91,5,"[0, 0]"
91,5,"[0, 0]"
91,9,[0]
92,4,"[0, 0]"
92,4,"[0, 0]"
92,12,[0]
93,3,"[0, 1]"
93,3,"[0, 0]"
93,7,[0]
93,19,[0]
94,6,"[0, 0]"
94,6,"[0, 0]"
94,14,[0]
95,1,"[0, 1]"
95,1,"[0, 0]"
95,5,[0]
95,9,[0]
95,13,[0]
96,4,[0]
96,8,[0]
96,16,[0]
97,11,[0]
97,15,[0]
98,10,"[0, 0]"
98,10,"[0, 0]"
99,1,[0]
99,5,"[0, 0]"
99,5,"[0, 0]"
99,17,[0]
100,4,[0]
100,12,[0]
100,20,[0]
101,7,"[0, 0]"
101,7,"[0, 0]"
101,11,[0]
102,6,"[0, 0]"
102,6,"[0, 0]"
102,14,[0]
103,1,[0]
103,9,[0]
103,21,[0]
104,8,"[0, 0]"
104,8,"[0, 0]"
104,16,[0]
105,3,[0]
105,7,[0]
105,11,[0]
105,15,[0]
106,2,"[0, 0]"
106,2,"[0, 0]"
106,6,[0]
106,10,[0]
106,18,[0]
107,1,"[0, 1, 0, 0]"
107,1,"[0, 0, 1, 0]"
107,1,"[0, 0, 0, 1]"
107,1,"[0, 0, 0, 0]"
107,5,[0]
107,13,[0]
107,17,[0]
108,4,[0]
108,12,"[0, 0]"
108,12,"[0, 0]"
109,3,"[0, 0]"
109,3,"[0, 0]"
109,7,"[0, 0]"
109,7,"[0, 0]"
109,19,[0]
110,2,[0]
110,6,[0]
110,14,[0]
110,22,[0]
111,1,[0]
111,9,"[0, 0]"
111,9,"[0, 0]"
111,13,[0]
112,4,[0]
112,8,"[0, 0]"
112,8,"[0, 0]"
112,16,[0]
113,3,[0]
113,11,[0]
113,23,[0]
114,2,[0]
114,10,"[0, 0]"
114,10,"[0, 0]"
114,18,[0]
115,1,[0]
115,5,"[0, 0, 0]"
115,5,"[0, 0, 0]"
115,5,"[0, 0, 0]"
115,9,[0]
115,13,[0]
115,17,[0]
116,4,"[0, 0, 0]"
116,4,"[0, 0, 0]"
116,4,"[0, 0, 0]"
116,8,[0]
116,12,[0]
116,20,[0]
117,3,"[0, 0]"
117,3,"[0, 0]"
117,7,[0]
117,15,[0]
117,19,[0]
118,2,[0]
118,6,[0]
118,14,"[0, 0]"
118,14,"[0, 0]"
119,1,"[0, 1]"
119,1,"[0, 0]"
119,5,"[0, 0]"
119,5,"[0, 0]"
119,9,"[0, 0]"
119,9,"[0, 0]"
119,21,[0]
120,4,[0]
120,8,[0]
120,16,[0]
120,24,[0]
121,3,[0]
121,11,"[0, 0]"
121,11,"[0, 0]"
121,15,[0]
122,2,"[0, 0]"
122,2,"[0, 0]"
122,6,[0]
122,10,"[0, 0]"
122,10,"[0, 0]"
122,18,[0]
123,1,[0]
123,5,[0]
123,13,[0]
123,25,[0]
124,12,"[0, 0]"
124,12,"[0, 0]"
124,20,[0]
125,3,[0]
125,7,"[0, 0]"
125,7,"[0, 0]"
125,11,[0]
125,15,[0]
125,19,[0]
126,2,[0]
126,6,"[0, 0]"
126,6,"[0, 0]"
126,10,[0]
126,14,[0]
126,22,[0]
127,1,[0]
127,5,[0]
127,9,[0]
127,17,[0]
127,21,[0]
128,8,[0]
128,16,"[0, 0]"
128,16,"[0, 0]"
129,3,"[0, 1]"
129,3,"[0, 0]"
129,7,[0]
129,11,"[0, 0]"
129,11,"[0, 0]"
129,23,[0]
130,2,"[0, 1]"
130,2,"[0, 0]"
130,6,"[0, 0]"
130,6,"[0, 0]"
130,10,[0]
130,18,[0]
130,26,[0]
131,1,"[0, 1]"
131,1,"[0, 0]"
131,5,[0]
131,13,"[0, 0]"
131,13,"[0, 0]"
131,17,[0]
132,4,[0]
132,8,[0]
132,12,"[0, 0]"
132,12,"[0, 0]"
132,20,[0]
133,3,"[0, 0]"
133,3,"[0, 0]"
133,7,[0]
133,15,[0]
133,27,[0]
134,2,[0]
134,14,"[0, 0]"
134,14,"[0, 0]"
134,22,[0]
135,1,[0]
135,9,"[0, 0]"
135,9,"[0, 0]"
135,13,[0]
135,17,[0]
135,21,[0]
136,4,[0]
136,8,[0]
136,12,[0]
136,16,[0]
136,24,[0]
137,3,[0]
137,11,[0]
137,19,[0]
137,23,[0]
138,2,[0]
138,6,"[0, 0]"
138,6,"[0, 0]"
138,10,[0]
138,18,"[0, 0]"
138,18,"[0, 0]"
139,1,[0]
139,5,[0]
139,9,[0]
139,13,"[0, 0]"
139,13,"[0, 0]"
139,25,[0]
140,4,"[0, 0]"
140,4,"[0, 0]"
140,8,[0]
140,12,[0]
140,20,[0]
140,28,[0]
141,3,"[0, 1, 2]"
141,3,"[0, 0, 1]"
141,3,"[0, 0, 0]"
141,7,[0]
141,15,"[0, 0]"
141,15,"[0, 0]"
141,19,[0]
142,6,[0]
142,10,[0]
142,14,"[0, 0]"
142,14,"[0, 0]"
142,22,[0]
143,1,"[0, 1, 0]"
143,1,"[0, 0, 1]"
143,1,"[0, 0, 0]"
143,5,"[0, 0]"
143,5,"[0, 0]"
143,9,[0]
143,17,[0]
143,29,[0]
144,4,"[0, 0]"
144,4,"[0, 0]"
144,16,"[0, 0]"
144,16,"[0, 0]"
144,24,[0]
145,7,[0]
145,11,"[0, 0]"
145,11,"[0, 0]"
145,15,[0]
145,19,[0]
145,23,[0]
146,6,"[0, 0]"
146,6,"[0, 0]"
146,10,[0]
146,14,[0]
146,18,[0]
146,26,[0]
147,1,[0]
147,5,[0]
147,13,[0]
147,21,[0]
147,25,[0]
148,4,[0]
148,8,[0]
148,12,[0]
148,20,"[0, 0]"
148,20,"[0, 0]"
149,7,"[0, 0]"
149,7,"[0, 0]"
149,11,[0]
149,15,"[0, 0]"
149,15,"[0, 0]"
149,27,[0]
150,6,[0]
150,10,[0]
150,14,[0]
150,22,[0]
150,30,[0]
151,1,[0]
151,5,[0]
151,9,[0]
151,17,"[0, 0]"
151,17,"[0, 0]"
151,21,[0]
152,8,[0]
152,12,[0]
152,16,"[0, 0]"
152,16,"[0, 0]"
152,24,[0]
153,3,[0]
153,7,"[0, 0, 0]"
153,7,"[0, 0, 0]"
153,7,"[0, 0, 0]"
153,11,[0]
153,19,[0]
153,31,[0]
154,2,[0]
154,6,[0]
154,18,"[0, 0]"
154,18,"[0, 0]"
154,26,[0]
155,1,"[0, 1]"
155,13,"[0, 0]"
155,13,"[0, 0]"
155,17,[0]
155,21,[0]
155,25,[0]
156,4,[0]
156,8,"[0, 0]"
156,8,"[0, 0]"
156,12,[0]
156,16,[0]
156,20,[0]
156,28,[0]
157,3,[0]
157,7,[0]
157,15,[0]
157,23,[0]
157,27,[0]
158,10,[0]
158,14,[0]
158,22,"[0, 0]"
158,22,"[0, 0]"
159,5,[0]
159,9,[0]
159,13,[0]
159,17,"[0, 0]"
159,17,"[0, 0]"
160,4,[0]
160,8,[0]
160,12,[0]
160,16,[0]
160,24,[0]
161,7,[0]
161,11,[0]
161,19,"[0, 0]"
161,19,"[0, 0]"
161,23,[0]
162,6,[0]
162,10,[0]
162,14,[0]
162,18,"[0, 0]"
162,18,"[0, 0]"
163,5,"[0, 0, 0]"
163,5,"[0, 0, 0]"
163,5,"[0, 0, 0]"
163,9,"[0, 0]"
163,9,"[0, 0]"
163,13,[0]
163,21,[0]
164,4,"[0, 0]"
164,4,"[0, 0]"
164,8,"[0, 0]"
164,8,"[0, 0]"
164,20,"[0, 0]"
164,20,"[0, 0]"
165,15,"[0, 0]"
165,15,"[0, 0]"
165,19,[0]
166,6,[0]
166,10,[0]
166,14,[0]
166,18,[0]
167,5,"[0, 0]"
167,5,"[0, 0]"
167,9,[0]
167,17,[0]
168,12,[0]
168,16,[0]
169,7,[0]
169,11,[0]
169,15,[0]
170,2,[0]
170,6,"[0, 0, 0]"
170,6,"[0, 0, 0]"
170,10,[0]
170,14,[0]
171,5,[0]
171,9,"[0, 0]"
171,13,[0]
172,8,"[0, 0]"
172,8,"[0, 0]"
172,12,[0]
173,7,"[0, 0, 0]"
173,7,"[0, 0, 0]"
173,11,"[0, 0]"
173,11,"[0, 0]"
174,6,"[0, 0]"
174,6,"[0, 0]"
174,10,"[0, 0, 0]"
174,10,"[0, 0, 0]"
175,9,[0]
176,8,"[0, 0]"
176,8,"[0, 0]"
177,3,"[0, 0]"
177,3,"[0, 0]"
177,7,"[0, 0]"
177,7,"[0, 0]"
178,2,[0]
178,6,[0]
179,5,[0]
180,4,"[0, 0]"
180,4,"[0, 0]"
181,3,"[0, 0]"
181,3,"[0, 0]"
182,2,[0]
