# Beta_2 Products in the ANSS E2 Page
# Product data are computed by beta.py: ANSSData().beta2(x).
# beta2 uses B2A_inv, data/185_BPBocSS_theta3.txt, and delta to compute products through E_2(S/3).
# Degree and basis source: data/185_BPAANSS_table.txt.
# Only nonzero computable products are displayed.
# Rows are sorted by increasing s_1, then increasing f_1.
# The product column is the coordinate vector in the original target-basis order from 185_BPAANSS_table.txt.
# Product vectors use square brackets in this CSV so spreadsheet apps do not interpret (1) as -1.
# Data rows begin after the s_1,f_1,product header.
s_1,f_1,product
0,0,[2]
3,1,[2]
10,2,[2]
13,3,[2]
20,4,[2]
23,5,[2]
26,2,[2]
29,3,[2]
30,6,[2]
33,7,[2]
34,2,[1]
36,4,[2]
39,5,[2]
40,8,[2]
43,9,[2]
44,4,[1]
46,6,[2]
49,7,[2]
50,10,[2]
52,4,"[1, 1]"
53,11,[2]
54,6,[1]
56,8,[2]
57,3,[2]
58,2,"[0, 2]"
59,9,[2]
60,4,[2]
60,12,[2]
62,6,"[1, 1]"
63,13,[2]
64,8,[1]
66,10,[2]
67,5,[2]
68,4,"[2, 0]"
68,4,"[0, 2]"
69,11,[2]
70,6,[2]
70,14,[2]
72,8,"[1, 1]"
73,15,[2]
74,2,[2]
74,10,[1]
75,5,"[2, 1]"
76,12,[2]
77,7,[2]
78,6,"[2, 0]"
78,6,"[0, 2]"
79,13,[2]
80,8,[2]
80,16,[2]
81,3,[2]
82,2,[2]
82,10,"[1, 1]"
83,5,"[2, 0]"
83,17,[2]
84,4,[2]
84,12,[1]
85,7,"[2, 1]"
86,6,"[2, 0]"
86,14,[2]
87,9,[2]
88,8,"[2, 0]"
88,8,"[0, 2]"
89,3,"[0, 1, 2]"
89,15,[2]
90,10,[2]
90,18,[2]
91,5,[2]
92,4,[1]
92,12,"[1, 1]"
93,7,"[2, 0]"
93,19,[2]
94,6,[2]
94,14,[1]
95,9,"[2, 1]"
96,4,[1]
96,8,"[2, 0]"
96,16,[2]
97,11,[2]
98,10,"[2, 0]"
98,10,"[0, 2]"
99,5,"[2, 1]"
99,5,"[1, 2]"
99,17,[2]
100,12,[2]
100,20,[2]
101,7,[2]
102,6,[1]
102,14,"[1, 1]"
103,9,"[2, 0]"
103,21,[2]
104,8,[2]
104,16,[1]
105,3,[2]
105,11,"[2, 1]"
106,2,[2]
106,2,[2]
106,6,[1]
106,10,"[2, 0]"
106,18,[2]
107,13,[2]
108,12,"[2, 0]"
108,12,"[0, 2]"
109,7,"[2, 1]"
109,7,"[1, 2]"
109,19,[2]
110,2,[2]
110,14,[2]
110,22,[2]
111,9,[2]
112,4,"[0, 2]"
112,8,[1]
112,16,"[1, 1]"
113,11,"[2, 0]"
113,23,[2]
114,10,[2]
114,18,[1]
115,5,[2]
115,13,"[2, 1]"
116,4,[2]
116,4,[1]
116,4,[1]
116,8,[1]
116,12,"[2, 0]"
116,20,[2]
117,3,"[1, 0]"
117,15,[2]
118,14,"[2, 0]"
118,14,"[0, 2]"
119,9,"[2, 1]"
119,9,"[1, 2]"
119,21,[2]
120,4,"[2, 0]"
120,16,[2]
120,24,[2]
121,11,[2]
122,2,[2]
122,6,[2]
122,10,[1]
122,18,"[1, 1]"
123,13,"[2, 0]"
123,25,[2]
124,12,[2]
124,20,[1]
125,7,[2]
125,15,"[2, 1]"
126,6,[2]
126,6,[2]
126,10,[1]
126,14,"[2, 0]"
126,22,[2]
127,5,"[2, 0, 2]"
127,17,[2]
128,16,"[2, 0]"
128,16,"[0, 2]"
129,11,"[2, 1]"
129,11,"[1, 2]"
129,23,[2]
130,2,[1]
130,6,"[2, 0]"
130,6,"[0, 2]"
130,18,[2]
130,26,[2]
131,13,[2]
132,8,[2]
132,12,[1]
132,20,"[1, 1]"
133,3,[2]
133,15,"[2, 0]"
134,14,[2]
134,22,[1]
135,9,[2]
135,17,"[2, 1]"
136,4,[2]
136,8,[2]
136,12,[1]
136,16,"[2, 0]"
137,3,"[0, 2, 1]"
137,19,[2]
138,6,"[2, 0]"
138,18,"[2, 0]"
138,18,"[0, 2]"
139,13,"[2, 1]"
139,13,"[1, 2]"
140,4,[1]
140,4,[1]
140,8,[2]
141,15,[2]
142,10,[2]
142,14,[1]
143,5,[2]
144,4,"[0, 1, 2]"
145,11,[2]
146,6,"[0, 2]"
146,6,"[0, 1]"
146,10,[2]
148,8,"[2, 0, 2]"
150,6,"[0, 1]"
153,3,[2]
154,2,"[0, 2]"
