s_1,f_1,product
0,0,[2]
3,1,[2]
10,2,[2]
11,1,"[0, 2]"
13,3,[2]
20,4,[2]
23,5,[2]
26,2,[1]
30,6,[2]
33,7,[2]
34,2,"[2, 0]"
36,4,[1]
37,3,[1]
40,8,[2]
43,9,[2]
44,4,"[2, 0]"
46,6,[1]
47,5,[1]
50,10,[2]
52,4,[1]
53,11,[2]
54,6,"[2, 0]"
56,8,[1]
57,3,"[1, 0]"
57,7,[1]
58,2,"[0, 2]"
60,4,"[1, 0]"
60,12,[2]
61,3,[2]
62,6,[1]
63,13,[2]
64,8,"[2, 0]"
66,10,[1]
67,5,"[1, 0]"
67,9,[1]
68,4,"[2, 1]"
68,4,"[0, 2]"
70,6,"[1, 0]"
70,14,[2]
71,5,[2]
72,8,[1]
73,15,[2]
74,2,[1]
74,10,"[2, 0]"
75,5,"[2, 1]"
76,12,[1]
77,7,"[1, 0]"
77,11,[1]
78,6,"[2, 1]"
78,6,"[0, 2]"
80,8,"[1, 0]"
80,16,[2]
81,3,"[2, 2, 0]"
81,3,"[0, 1, 1]"
81,7,[2]
82,2,"[0, 2, 2]"
82,10,[1]
83,17,[2]
84,4,[2]
84,4,[1]
84,12,"[2, 0]"
85,3,"[0, 1]"
85,7,"[2, 1]"
86,14,[1]
87,9,"[1, 0]"
87,13,[1]
88,8,"[2, 1]"
88,8,"[0, 2]"
89,3,[2]
90,10,"[1, 0]"
90,18,[2]
91,5,"[2, 0]"
91,5,"[1, 1]"
91,9,[2]
92,4,"[2, 1]"
92,4,"[0, 1]"
92,12,[1]
93,19,[2]
94,6,[2]
94,6,[1]
94,14,"[2, 0]"
95,5,[1]
95,9,"[2, 1]"
96,4,"[0, 2]"
96,16,[1]
97,11,"[1, 0]"
97,15,[1]
98,10,"[2, 1]"
98,10,"[0, 2]"
99,5,[2]
100,12,"[1, 0]"
100,20,[2]
101,7,"[2, 0]"
101,7,"[1, 1]"
101,11,[2]
102,6,[1]
102,14,[1]
103,21,[2]
104,8,[2]
104,8,[1]
104,16,"[2, 0]"
105,3,[1]
105,7,[1]
105,11,"[2, 1]"
106,2,"[2, 0]"
106,2,"[0, 2]"
106,6,[2]
106,18,[1]
107,5,[1]
107,13,"[1, 0]"
107,17,[1]
108,4,[2]
108,12,"[2, 1]"
108,12,"[0, 2]"
109,3,"[0, 2]"
109,3,"[0, 2]"
109,7,[2]
110,2,"[2, 0]"
110,14,"[1, 0]"
110,22,[2]
111,9,"[2, 0]"
111,9,"[1, 1]"
111,13,[2]
112,4,"[0, 1]"
112,8,[1]
112,16,[1]
113,23,[2]
114,10,[2]
114,10,[1]
114,18,"[2, 0]"
115,5,"[2, 0]"
115,5,"[0, 1]"
115,5,"[0, 1]"
115,9,[1]
115,13,"[2, 1]"
116,4,[2]
116,4,[1]
116,4,[1]
116,8,[2]
116,20,[1]
117,7,[1]
117,15,"[1, 0]"
117,19,[1]
118,6,[2]
118,14,"[2, 1]"
118,14,"[0, 2]"
119,5,"[0, 0, 2]"
119,5,"[0, 0, 2]"
119,9,[2]
120,16,"[1, 0]"
120,24,[2]
121,11,"[2, 0]"
121,11,"[1, 1]"
121,15,[2]
122,2,[1]
122,6,"[0, 1]"
122,10,[1]
122,18,[1]
123,5,[1]
123,25,[2]
124,12,[2]
124,12,[1]
124,20,"[2, 0]"
125,7,[1]
125,7,[1]
125,11,[1]
125,15,"[2, 1]"
126,6,[2]
126,6,[2]
126,10,[2]
126,22,[1]
127,9,[1]
127,17,"[1, 0]"
127,21,[1]
128,8,[2]
128,16,"[2, 1]"
128,16,"[0, 2]"
129,3,"[0, 2, 2]"
129,7,"[0, 2]"
129,11,[2]
130,2,"[1, 1]"
130,6,"[2, 1]"
130,18,"[1, 0]"
131,13,"[2, 0]"
131,13,"[1, 1]"
131,17,[2]
132,4,[1]
132,8,[1]
132,12,[1]
133,3,"[0, 2]"
133,3,"[0, 1]"
133,7,[1]
134,14,[2]
134,14,[1]
135,9,[1]
135,9,[1]
135,13,[1]
136,8,[2]
136,12,[2]
137,3,[2]
137,11,[1]
138,6,"[0, 2]"
138,10,[2]
139,5,"[0, 2, 2]"
139,9,"[0, 2]"
140,4,"[1, 0]"
140,4,"[0, 1]"
140,8,"[2, 1, 2]"
142,6,"[0, 1]"
143,5,"[0, 1]"
144,4,[2]
